,005930.KS,009540.KS,034020.KS,105560.KS,005380.KS,005490.KS,207940.KS,090430.KS,035420.KS
2020-05-25,42232.78515625,79576.671875,3552.89990234375,23498.4140625,76327.734375,138544.046875,961516.25,161856.1875,234206.40625
2020-05-26,42578.6015625,81475.875,3588.878662109375,24435.35546875,77758.875,141765.953125,981294.25,160895.625,232262.78125
2020-05-27,43140.55078125,88028.125,4101.57568359375,24810.130859375,77997.3984375,147001.6875,949345.125,162816.765625,222058.765625
2020-05-28,43572.82421875,84799.4765625,3939.67138671875,25634.630859375,77281.8046875,148612.65625,929567.125,159935.046875,233720.515625
2020-05-29,43832.1796875,86223.890625,3849.724609375,25484.728515625,77917.9140625,145793.390625,946302.375,156573.0625,219629.234375
2020-06-01,44264.453125,87553.328125,3993.639404296875,25934.453125,79508.0546875,147001.6875,956952.0625,159454.765625,230319.15625
2020-06-02,44437.3671875,93155.984375,4371.416015625,27171.2109375,81495.765625,152237.328125,956952.0625,160415.34375,227403.703125
2020-06-03,47117.4375,97809.03125,4384.908203125,28932.66015625,86266.234375,163111.421875,952387.875,163297.046875,219143.328125
2020-06-04,47203.8984375,95909.828125,4447.87109375,27733.37890625,86266.234375,163514.171875,988901.1875,166178.765625,225946.0
2020-06-05,47981.97265625,97334.234375,4533.3203125,28520.40625,88253.9453125,161500.46875,1011722.0,168099.890625,224488.28125
2020-06-08,47463.2421875,98283.8359375,4578.2939453125,28632.8359375,89844.1015625,163111.421875,1010200.5625,171942.1875,233720.515625
2020-06-09,47981.97265625,96859.4296875,4758.1875,28857.703125,89049.03125,159889.484375,1028457.25,169060.46875,230805.0625
2020-06-10,47895.53515625,95909.828125,4758.1875,28145.630859375,88651.4765625,159486.71875,1071056.0,167619.609375,237121.859375
2020-06-11,46944.53515625,94010.625,4623.26708984375,27246.16796875,86266.234375,155862.03125,1136475.625,165218.171875,233720.515625
2020-06-12,45215.4453125,89832.3671875,4461.36279296875,25971.935546875,82290.8515625,150223.609375,1224716.125,161375.921875,235178.1875
2020-06-15,43140.55078125,81950.671875,4196.02001953125,24922.564453125,77122.8046875,140960.484375,1229280.25,154171.625,224974.171875
2020-06-16,45042.546875,87838.203125,4632.26171875,26758.9609375,80700.6796875,151029.09375,1256665.125,160895.625,236635.9375
2020-06-17,45128.98828125,87078.515625,4470.357421875,26234.2734375,79905.59375,150626.34375,1253622.375,155132.203125,243924.5
2020-06-18,45215.4453125,88597.890625,4393.90283203125,26421.662109375,79508.0546875,150223.609375,1232323.0,154651.921875,240523.15625
2020-06-19,45734.17578125,88977.734375,4348.92919921875,26983.826171875,79508.0546875,153445.5625,1218630.5,155612.484375,242466.8125
2020-06-22,44956.08203125,85939.0,4317.4482421875,26121.84375,78315.421875,149820.828125,1206459.375,150809.609375,262388.9375
2020-06-23,44437.3671875,84039.796875,4191.5224609375,26009.408203125,78474.453125,147404.375,1220151.875,148408.21875,268219.78125
2020-06-24,45734.17578125,85749.0859375,4191.5224609375,26159.31640625,81893.3046875,149015.375,1246015.5,148888.5,271135.21875
2020-06-25,44869.62890625,83185.15625,4074.591552734375,25297.33203125,79031.0078125,144987.96875,1239929.875,144085.625,261902.984375
2020-06-26,46079.984375,84324.6796875,4083.586181640625,26084.365234375,79508.0546875,147404.375,1232323.0,151770.1875,261417.09375
2020-06-29,45604.79296875,83185.15625,4173.533203125,25409.771484375,77679.375,141750.515625,1192767.0,146967.359375,256558.046875
2020-06-30,45952.921875,82995.2421875,4348.92919921875,25447.25,77679.375,140539.0,1179074.5,160895.625,259473.4375
2020-07-01,45778.85546875,83185.15625,4231.99853515625,25784.54296875,78076.90625,144173.59375,1144082.625,156092.75,261417.09375
2020-07-02,46039.9609375,83849.875,4294.96142578125,25822.0234375,78712.9609375,146192.84375,1195809.75,161375.921875,269191.625
2020-07-03,46649.18359375,84039.796875,4285.966796875,26084.365234375,78871.984375,146596.75,1172988.875,160415.34375,269677.46875
2020-07-06,47867.6328125,83375.078125,4236.49609375,26796.435546875,80700.6796875,147808.203125,1147125.375,156573.0625,273564.78125
2020-07-07,46475.11328125,82330.515625,4142.0517578125,26833.912109375,78871.984375,149423.625,1142561.25,157053.328125,271621.125
2020-07-08,46126.984375,81380.9140625,4155.5439453125,26271.751953125,79190.0234375,153865.96875,1119740.375,155612.484375,274536.5625
2020-07-09,45952.921875,81855.7109375,4155.5439453125,26009.408203125,79190.0234375,152250.578125,1127347.375,156092.75,279395.625
2020-07-10,45865.88671875,79481.7109375,4056.602294921875,25447.25,78156.40625,147000.546875,1112133.5,150809.609375,290571.40625
2020-07-13,46475.11328125,85179.3203125,4137.55419921875,26496.6171875,80700.6796875,151039.03125,1110612.125,153691.34375,288627.8125
2020-07-14,46823.23828125,84039.796875,4173.533203125,26309.228515625,80700.6796875,149019.828125,1118219.0,157533.625,278909.71875
2020-07-15,47606.5390625,86413.8046875,4299.45849609375,26721.484375,86663.78125,150635.171875,1139518.375,155612.484375,278423.8125
2020-07-16,46823.23828125,86413.8046875,4425.38427734375,26946.34765625,87458.859375,150635.171875,1113654.875,158494.203125,265304.3125
2020-07-17,47345.4375,84894.4453125,4420.88671875,26721.484375,93421.96875,150635.171875,1130390.125,158494.203125,268219.78125
2020-07-20,47171.3671875,85559.1640625,4947.07568359375,27658.421875,96602.28125,151442.84375,1124304.625,158494.203125,255586.21875
2020-07-21,48128.71484375,88313.0078125,6431.19873046875,27508.5078125,96602.28125,154673.640625,1141039.875,164257.625,262388.9375
2020-07-22,47606.5390625,86223.890625,7717.4384765625,27133.732421875,94217.046875,159519.84375,1201895.25,160895.625,262388.9375
2020-07-23,47084.33203125,84514.6015625,7744.42236328125,26871.388671875,98987.515625,157904.453125,1179074.5,158974.46875,275994.25
2020-07-24,47171.3671875,83849.875,7348.65625,26534.09375,97397.3515625,156692.90625,1148646.75,157053.328125,273078.84375
2020-07-27,48389.8203125,83280.1171875,7834.369140625,26571.576171875,98192.453125,158308.3125,1147125.375,158013.921875,276480.1875
2020-07-28,51000.7734375,86223.890625,8949.7099609375,26758.9609375,97794.9140625,163154.46875,1157775.125,156573.0625,279881.5
2020-07-29,51348.91015625,86223.890625,9759.2314453125,27133.732421875,99385.0703125,162750.609375,1127347.375,157053.328125,283768.75
2020-07-30,51348.91015625,86413.8046875,9759.2314453125,26946.34765625,101372.7734375,160731.40625,1119740.375,159454.765625,285712.3125
2020-07-31,50391.5546875,84704.515625,9444.41796875,26421.662109375,100577.6796875,156289.046875,1115176.25,159454.765625,292515.03125
2020-08-03,49434.19921875,81950.671875,8338.0712890625,26421.662109375,100975.2421875,155077.5,1119740.375,154171.625,305634.5
2020-08-04,49869.36328125,82710.359375,8419.0234375,26609.048828125,105348.15625,156692.90625,1118219.0,156573.0625,302233.15625
2020-08-05,49521.23828125,82140.6015625,8392.0400390625,26609.048828125,106540.7890625,156692.90625,1197331.125,158494.203125,304662.65625
2020-08-06,50478.578125,82615.3984375,8149.18310546875,27396.0859375,114889.140625,162346.78125,1183638.625,160895.625,312923.0625
2020-08-07,50043.42578125,81665.796875,8221.140625,27096.25,116876.8359375,159115.96875,1168424.75,162816.765625,305148.625
2020-08-10,50304.515625,82805.3125,8320.08203125,27845.80859375,135163.703125,160327.515625,1172988.875,161375.921875,304662.65625
2020-08-11,50652.65234375,87078.515625,8140.1884765625,29082.564453125,142319.40625,167193.0,1223194.625,167139.34375,302719.0625
2020-08-12,51348.91015625,87458.3671875,8176.1669921875,30244.369140625,136753.859375,168404.5,1282528.75,174823.90625,296402.28125
2020-08-13,51087.8046875,85749.0859375,8104.2099609375,31106.353515625,135163.703125,166385.21875,1247536.875,180107.03125,298345.9375
2020-08-14,50478.578125,91066.8515625,8706.853515625,29832.12109375,132778.453125,170019.84375,1217109.125,188752.1875,296402.28125
2020-08-18,50826.71484375,86888.609375,8814.7900390625,28595.359375,125622.6953125,163962.15625,1220151.875,169540.75,298831.8125
2020-08-19,50304.515625,86793.6484375,9039.6572265625,28482.9296875,130790.7734375,162346.78125,1230801.625,174823.90625,306120.375
2020-08-20,48215.75390625,83090.1953125,9039.6572265625,27321.123046875,123237.484375,157500.609375,1207980.875,165698.5,296888.21875
2020-08-21,48650.9140625,83280.1171875,8913.7314453125,27545.98828125,124032.546875,160731.40625,1215587.75,167139.34375,303690.90625
